val_loss,val_auc,epoch,step,train_loss,train_auc,test_auc
0.533477783203125,0.8502427339553833,0,234,,,
,,0,234,0.6392102837562561,0.6990395784378052,
0.4813942611217499,0.854387640953064,1,469,,,
,,1,469,0.4979534447193146,0.8416129350662231,
0.48040148615837097,0.8562090396881104,2,704,,,
,,2,704,0.4898328185081482,0.8481748104095459,
0.4814072549343109,0.8567302823066711,3,939,,,
,,3,939,0.48983216285705566,0.8475257754325867,
0.4833019971847534,0.8570670485496521,4,1174,,,
,,4,1174,0.49010467529296875,0.8469089865684509,
0.49846556782722473,0.8574250936508179,5,1409,,,
,,5,1409,0.48910486698150635,0.8483297824859619,
0.4795239567756653,0.8572323322296143,6,1644,,,
,,6,1644,0.4885864853858948,0.8478614687919617,
0.4962446093559265,0.8574365973472595,7,1879,,,
,,7,1879,0.49171674251556396,0.8472309112548828,
0.4842626452445984,0.8575760126113892,8,2114,,,
,,8,2114,0.48881617188453674,0.8481963872909546,
0.48914211988449097,0.8571726083755493,9,2349,,,
,,9,2349,0.49442389607429504,0.8450033068656921,
0.4893490672111511,0.857347309589386,10,2584,,,
,,10,2584,0.4904521405696869,0.8475221395492554,
0.4860087037086487,0.8574566841125488,11,2819,,,
,,11,2819,0.4942781627178192,0.8452239036560059,
0.48397141695022583,0.8579476475715637,12,3054,,,
,,12,3054,0.49120181798934937,0.8482072353363037,
0.4835766553878784,0.8583329916000366,13,3289,,,
,,13,3289,0.4939603805541992,0.8468997478485107,
0.4827786684036255,0.8571556210517883,14,3524,,,
,,14,3524,0.4912295937538147,0.847538411617279,
0.4799050986766815,0.8587602972984314,15,3759,,,
,,15,3759,0.4876474440097809,0.8502330780029297,
0.47805529832839966,0.8596029281616211,16,3994,,,
,,16,3994,0.49112963676452637,0.8475607633590698,
0.48368844389915466,0.8565828204154968,17,4229,,,
,,17,4229,0.49710813164711,0.842750072479248,
0.48013344407081604,0.8584858179092407,18,4464,,,
,,18,4464,0.4886862337589264,0.8488375544548035,
0.4949776828289032,0.8598811030387878,19,4699,,,
,,19,4699,0.5036797523498535,0.8418103456497192,
0.49254125356674194,0.8606764078140259,20,4934,,,
,,20,4934,0.48907890915870667,0.8485854864120483,
0.48257437348365784,0.8612468242645264,21,5169,,,
,,21,5169,0.48789581656455994,0.849227786064148,
0.47978997230529785,0.8599702715873718,22,5404,,,
,,22,5404,0.4911741614341736,0.8473690152168274,
0.48147907853126526,0.8589047193527222,23,5639,,,
,,23,5639,0.4965559244155884,0.8425671458244324,
0.4791535437107086,0.8597320914268494,24,5874,,,
,,24,5874,0.49157392978668213,0.8473352789878845,
0.48150408267974854,0.8612363338470459,25,6109,,,
,,25,6109,0.4948079586029053,0.8454856276512146,
0.4817562699317932,0.8611700534820557,26,6344,,,
,,26,6344,0.49137917160987854,0.8469997644424438,
0.48727306723594666,0.8545219898223877,27,6579,,,
,,27,6579,0.5071049332618713,0.8359892964363098,
0.49954479932785034,0.8557754158973694,28,6814,,,
,,28,6814,0.49305158853530884,0.8442395925521851,
0.5052731037139893,0.8511196374893188,29,7049,,,
,,29,7049,0.503481388092041,0.8388554453849792,
0.4969601333141327,0.856500506401062,30,7284,,,
,,30,7284,0.49385181069374084,0.8441634774208069,
0.49555060267448425,0.8569132089614868,31,7519,,,
,,31,7519,0.49570703506469727,0.8430402278900146,
0.49894970655441284,0.8565000295639038,32,7754,,,
,,32,7754,0.4912847876548767,0.8458247184753418,
0.4967348575592041,0.8592017889022827,33,7989,,,
,,33,7989,0.4910217821598053,0.8474631309509277,
0.48481759428977966,0.8585541248321533,34,8224,,,
,,34,8224,0.4905419945716858,0.8476120829582214,
0.4858710765838623,0.8594805002212524,35,8459,,,
,,35,8459,0.4928046762943268,0.8456559777259827,
0.48653653264045715,0.8588389754295349,36,8694,,,
,,36,8694,0.5030691027641296,0.8417755365371704,
0.49093198776245117,0.8593405485153198,37,8929,,,
,,37,8929,0.501653254032135,0.8419021368026733,
0.49846017360687256,0.8597856163978577,38,9164,,,
,,38,9164,0.4976699650287628,0.8437864780426025,
0.4889892041683197,0.8603874444961548,39,9399,,,
,,39,9399,0.4999629557132721,0.842586874961853,
0.48255205154418945,0.8590208292007446,40,9634,,,
,,40,9634,0.48683223128318787,0.850252628326416,
0.5072217583656311,0.8597009181976318,41,9869,,,
,,41,9869,0.48851269483566284,0.8504385948181152,
0.4890899062156677,0.8602712154388428,42,10104,,,
,,42,10104,0.4886893630027771,0.8493798971176147,
0.4828087389469147,0.8602210879325867,43,10339,,,
,,43,10339,0.48980066180229187,0.8492223024368286,
0.5057256817817688,0.8595199584960938,44,10574,,,
,,44,10574,0.49059486389160156,0.848751425743103,
0.49160632491111755,0.8610586524009705,45,10809,,,
,,45,10809,0.48981139063835144,0.8487613797187805,
0.5105421543121338,0.8612606525421143,46,11044,,,
,,46,11044,0.48532429337501526,0.8517695665359497,
0.5242491364479065,0.8606721758842468,47,11279,,,
,,47,11279,0.48731324076652527,0.8507933616638184,
0.5014052391052246,0.8613374829292297,48,11514,,,
,,48,11514,0.48825350403785706,0.850406289100647,
0.4891144037246704,0.8616690635681152,49,11749,,,
,,49,11749,0.48779967427253723,0.8503384590148926,
0.5305563807487488,0.8590546250343323,50,11984,,,
,,50,11984,0.4881238639354706,0.8507274389266968,
0.48452290892601013,0.8614318370819092,51,12219,,,
,,51,12219,0.48644110560417175,0.8512879610061646,
0.49501004815101624,0.8615854978561401,52,12454,,,
,,52,12454,0.48838165402412415,0.8504574298858643,
0.4992018938064575,0.8615500926971436,53,12689,,,
,,53,12689,0.4883789122104645,0.8508505821228027,
0.488129585981369,0.8598681688308716,54,12924,,,
,,54,12924,0.4871574938297272,0.8516533374786377,
0.49197396636009216,0.8609580993652344,55,13159,,,
,,55,13159,0.4866515100002289,0.8512264490127563,
0.49611136317253113,0.8599621653556824,56,13394,,,
,,56,13394,0.48740339279174805,0.8509315252304077,
0.48896852135658264,0.8609790802001953,57,13629,,,
,,57,13629,0.48510196805000305,0.8532630801200867,
0.49517446756362915,0.8614847660064697,58,13864,,,
,,58,13864,0.48593851923942566,0.8521386981010437,
0.4931674897670746,0.8615126013755798,59,14099,,,
,,59,14099,0.4851561188697815,0.8526239991188049,
0.4892248809337616,0.8615024089813232,60,14334,,,
,,60,14334,0.4851963222026825,0.8511354327201843,
0.48806288838386536,0.8616935014724731,61,14569,,,
,,61,14569,0.4845556616783142,0.853326678276062,
0.4886097013950348,0.8612922430038452,62,14804,,,
,,62,14804,0.4849589169025421,0.8532414436340332,
0.4964008629322052,0.861646294593811,63,15039,,,
,,63,15039,0.48362118005752563,0.8530320525169373,
0.4913216233253479,0.861728310585022,64,15274,,,
,,64,15274,0.4830861985683441,0.8534327149391174,
0.5159302949905396,0.8615784645080566,65,15509,,,
,,65,15509,0.4831978976726532,0.8545490503311157,
0.49342504143714905,0.8614997267723083,66,15744,,,
,,66,15744,0.48324137926101685,0.8536111116409302,
0.48876768350601196,0.8609576225280762,67,15979,,,
,,67,15979,0.4827934205532074,0.8542018532752991,
0.48627969622612,0.8619067668914795,68,16214,,,
,,68,16214,0.48208117485046387,0.8543931245803833,
0.4887218177318573,0.8620516657829285,69,16449,,,
,,69,16449,0.4810274839401245,0.8551341891288757,
0.4884355366230011,0.862014889717102,70,16684,,,
,,70,16684,0.48259299993515015,0.8544861078262329,
0.4869278073310852,0.8619940280914307,71,16919,,,
,,71,16919,0.4815877079963684,0.8557224273681641,
0.4889245927333832,0.8618362545967102,72,17154,,,
,,72,17154,0.47879788279533386,0.8566070795059204,
0.48632755875587463,0.8623259663581848,73,17389,,,
,,73,17389,0.48020628094673157,0.8561183214187622,
0.485810786485672,0.8624058961868286,74,17624,,,
,,74,17624,0.4801643192768097,0.856419563293457,
0.4842500388622284,0.8624907732009888,75,17859,,,
,,75,17859,0.47923967242240906,0.8568888306617737,
0.4866209328174591,0.8621587753295898,76,18094,,,
,,76,18094,0.47973933815956116,0.8560361862182617,
0.48613685369491577,0.8621781468391418,77,18329,,,
,,77,18329,0.4789843261241913,0.8569319844245911,
0.48578816652297974,0.8625761270523071,78,18564,,,
,,78,18564,0.47837087512016296,0.8576130867004395,
0.4852386713027954,0.8620750904083252,79,18799,,,
,,79,18799,0.4778730571269989,0.8583431839942932,
0.4861474335193634,0.8621684908866882,80,19034,,,
,,80,19034,0.47776496410369873,0.8579605221748352,
0.48857951164245605,0.8624515533447266,81,19269,,,
,,81,19269,0.47911620140075684,0.8578400611877441,
0.48689714074134827,0.8623487949371338,82,19504,,,
,,82,19504,0.4778496325016022,0.8577766418457031,
0.4860502779483795,0.862372636795044,83,19739,,,
,,83,19739,0.47511979937553406,0.8592091798782349,
0.48682504892349243,0.8625112771987915,84,19974,,,
,,84,19974,0.4772752821445465,0.8581002354621887,
0.4873577058315277,0.8624503016471863,85,20209,,,
,,85,20209,0.4771043062210083,0.8588289618492126,
0.48672640323638916,0.8624269962310791,86,20444,,,
,,86,20444,0.47532662749290466,0.8593239784240723,
0.48650428652763367,0.8625403642654419,87,20679,,,
,,87,20679,0.4755235016345978,0.8595230579376221,
0.4874579906463623,0.8624605536460876,88,20914,,,
,,88,20914,0.4769738018512726,0.8588843941688538,
0.486089825630188,0.8624516725540161,89,21149,,,
,,89,21149,0.4754684269428253,0.8596034646034241,
0.48626235127449036,0.8624557256698608,90,21384,,,
,,90,21384,0.4755086600780487,0.8593707084655762,
0.48582857847213745,0.8624700307846069,91,21619,,,
,,91,21619,0.47500190138816833,0.8601630330085754,
0.4855163097381592,0.8624927997589111,92,21854,,,
,,92,21854,0.4752444624900818,0.8596023917198181,
0.4855160415172577,0.8625298738479614,93,22089,,,
,,93,22089,0.4758831858634949,0.8589610457420349,
0.48531684279441833,0.8625156879425049,94,22324,,,
,,94,22324,0.4761279821395874,0.8598422408103943,
0.48540249466896057,0.8624910116195679,95,22559,,,
,,95,22559,0.4743417501449585,0.8601899743080139,
0.48548874258995056,0.8624932765960693,96,22794,,,
,,96,22794,0.47434285283088684,0.8605462312698364,
0.48546722531318665,0.8625149726867676,97,23029,,,
,,97,23029,0.4748404324054718,0.8600654602050781,
0.48544609546661377,0.8625160455703735,98,23264,,,
,,98,23264,0.4751799702644348,0.8592538833618164,
0.48544591665267944,0.8625157475471497,99,23499,,,
,,99,23499,0.4740910828113556,0.8601623773574829,
,,100,23500,,,0.8625157475471497
,,100,23500,,,0.8650680780410767
,,100,23500,,,0.8625156879425049
,,100,23500,,,0.8650680780410767
